date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:37:18	16561/16561	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202014%2023:13:26%20GMT	http://sdif.sourceforge.net/wiki/index.php/Main_Page	sdif.sourceforge.net/wiki/index.php/Main_Page.html	(from )
11:37:18	865/865	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Tue,%2004%20Aug%202020%2009:37:18%20GMT	http://sdif.sourceforge.net/robots.txt		(from )
11:37:19	18052/18052	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202014%2023:13:26%20GMT	http://sdif.sourceforge.net/wiki/index.php/SDIF_Articles	sdif.sourceforge.net/wiki/index.php/SDIF_Articles.html	(from http://sdif.sourceforge.net/wiki/index.php/Main_Page)
11:37:19	13771/13771	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202014%2023:13:26%20GMT	http://sdif.sourceforge.net/wiki/index.php/SDIF_FAQ	sdif.sourceforge.net/wiki/index.php/SDIF_FAQ.html	(from http://sdif.sourceforge.net/wiki/index.php/Main_Page)
11:37:20	17972/17972	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202014%2023:13:26%20GMT	http://sdif.sourceforge.net/wiki/index.php/SDIF_Type_Grafitti_Wall	sdif.sourceforge.net/wiki/index.php/SDIF_Type_Grafitti_Wall.html	(from http://sdif.sourceforge.net/wiki/index.php/Main_Page)
11:37:20	16415/16415	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202014%2023:13:26%20GMT	http://sdif.sourceforge.net/wiki/index.php/Applications	sdif.sourceforge.net/wiki/index.php/Applications.html	(from http://sdif.sourceforge.net/wiki/index.php/Main_Page)
11:37:21	14172/14172	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Aug%202020%2009:37:21%20GMT	http://sdif.sourceforge.net/wiki/index.php/Special:AllPages	sdif.sourceforge.net/wiki/index.php/Special_AllPages.html	(from http://sdif.sourceforge.net/wiki/index.php/Main_Page)
11:37:21	18739/18739	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2018:23:28%20GMT	http://sdif.sourceforge.net/wiki/index.php/Special:RecentChanges	sdif.sourceforge.net/wiki/index.php/Special_RecentChanges.html	(from http://sdif.sourceforge.net/wiki/index.php/Main_Page)
11:37:22	16631/16631	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202014%2023:13:26%20GMT	http://sdif.sourceforge.net/wiki/index.php/SDIF_Examples	sdif.sourceforge.net/wiki/index.php/SDIF_Examples.html	(from http://sdif.sourceforge.net/wiki/index.php/Main_Page)
11:37:23	18070/18070	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202014%2023:13:26%20GMT	http://sdif.sourceforge.net/wiki/index.php/SDIF_Matlab	sdif.sourceforge.net/wiki/index.php/SDIF_Matlab.html	(from http://sdif.sourceforge.net/wiki/index.php/Main_Page)
11:37:23	14060/14060	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202014%2023:13:26%20GMT	http://sdif.sourceforge.net/wiki/index.php/SDIF_Tools	sdif.sourceforge.net/wiki/index.php/SDIF_Tools.html	(from http://sdif.sourceforge.net/wiki/index.php/Main_Page)
11:37:24	16032/16032	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Aug%202020%2009:37:24%20GMT	http://sdif.sourceforge.net/wiki/index.php/Special:WhatLinksHere/Main_Page	sdif.sourceforge.net/wiki/index.php/Special_WhatLinksHere/Main_Page.html	(from http://sdif.sourceforge.net/wiki/index.php/Main_Page)
11:37:25	17015/17015	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2018:23:28%20GMT	http://sdif.sourceforge.net/wiki/index.php/Special:RecentChangesLinked/Main_Page	sdif.sourceforge.net/wiki/index.php/Special_RecentChangesLinked/Main_Page.html	(from http://sdif.sourceforge.net/wiki/index.php/Main_Page)
11:37:34	22632/22632	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Aug%202020%2009:37:34%20GMT	http://sdif.sourceforge.net/wiki/index.php/Special:SpecialPages	sdif.sourceforge.net/wiki/index.php/Special_SpecialPages.html	(from http://sdif.sourceforge.net/wiki/index.php/Main_Page)
11:37:35	12385/12385	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Aug%202020%2009:37:35%20GMT	http://sdif.sourceforge.net/wiki/index.php/Sdif:Privacy_policy	sdif.sourceforge.net/wiki/index.php/Sdif_Privacy_policy	(from http://sdif.sourceforge.net/wiki/index.php/Main_Page)
11:37:35	12223/12223	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Aug%202020%2009:37:35%20GMT	http://sdif.sourceforge.net/wiki/index.php/Sdif:About	sdif.sourceforge.net/wiki/index.php/Sdif_About	(from http://sdif.sourceforge.net/wiki/index.php/Main_Page)
11:37:36	12457/12457	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Aug%202020%2009:37:36%20GMT	http://sdif.sourceforge.net/wiki/index.php/Sdif:General_disclaimer	sdif.sourceforge.net/wiki/index.php/Sdif_General_disclaimer	(from http://sdif.sourceforge.net/wiki/index.php/Main_Page)
11:37:37	12480/12480	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Aug%202020%2009:37:36%20GMT	http://sdif.sourceforge.net/wiki/index.php/Special:BookSources/9780853162698	sdif.sourceforge.net/wiki/index.php/Special_BookSources/9780853162698.html	(from http://sdif.sourceforge.net/wiki/index.php/SDIF_Articles)
11:37:37	15666/15666	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Aug%202020%2009:37:37%20GMT	http://sdif.sourceforge.net/wiki/index.php/Special:WhatLinksHere/SDIF_Articles	sdif.sourceforge.net/wiki/index.php/Special_WhatLinksHere/SDIF_Articles.html	(from http://sdif.sourceforge.net/wiki/index.php/SDIF_Articles)
11:37:38	17159/17159	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2018:23:28%20GMT	http://sdif.sourceforge.net/wiki/index.php/Special:RecentChangesLinked/SDIF_Articles	sdif.sourceforge.net/wiki/index.php/Special_RecentChangesLinked/SDIF_Articles.html	(from http://sdif.sourceforge.net/wiki/index.php/SDIF_Articles)
11:37:38	15421/15421	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Aug%202020%2009:37:38%20GMT	http://sdif.sourceforge.net/wiki/index.php/Special:WhatLinksHere/SDIF_FAQ	sdif.sourceforge.net/wiki/index.php/Special_WhatLinksHere/SDIF_FAQ.html	(from http://sdif.sourceforge.net/wiki/index.php/SDIF_FAQ)
11:37:39	16979/16979	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2018:23:28%20GMT	http://sdif.sourceforge.net/wiki/index.php/Special:RecentChangesLinked/SDIF_FAQ	sdif.sourceforge.net/wiki/index.php/Special_RecentChangesLinked/SDIF_FAQ.html	(from http://sdif.sourceforge.net/wiki/index.php/SDIF_FAQ)
11:37:39	16156/16156	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Aug%202020%2009:37:39%20GMT	http://sdif.sourceforge.net/wiki/index.php/Special:WhatLinksHere/SDIF_Type_Grafitti_Wall	sdif.sourceforge.net/wiki/index.php/Special_WhatLinksHere/SDIF_Type_Grafitti_Wall.html	(from http://sdif.sourceforge.net/wiki/index.php/SDIF_Type_Grafitti_Wall)
11:37:40	17519/17519	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2018:23:28%20GMT	http://sdif.sourceforge.net/wiki/index.php/Special:RecentChangesLinked/SDIF_Type_Grafitti_Wall	sdif.sourceforge.net/wiki/index.php/Special_RecentChangesLinked/SDIF_Type_Grafitti_Wall.html	(from http://sdif.sourceforge.net/wiki/index.php/SDIF_Type_Grafitti_Wall)
11:37:40	16111/16111	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Aug%202020%2009:37:40%20GMT	http://sdif.sourceforge.net/wiki/index.php/Special:WhatLinksHere/Applications	sdif.sourceforge.net/wiki/index.php/Special_WhatLinksHere/Applications.html	(from http://sdif.sourceforge.net/wiki/index.php/Applications)
11:37:41	17123/17123	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2018:23:28%20GMT	http://sdif.sourceforge.net/wiki/index.php/Special:RecentChangesLinked/Applications	sdif.sourceforge.net/wiki/index.php/Special_RecentChangesLinked/Applications.html	(from http://sdif.sourceforge.net/wiki/index.php/Applications)
11:37:42	13960/13960	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Aug%202020%2009:37:41%20GMT	http://sdif.sourceforge.net/wiki/index.php/Special:WhatLinksHere/SDIF_Examples	sdif.sourceforge.net/wiki/index.php/Special_WhatLinksHere/SDIF_Examples.html	(from http://sdif.sourceforge.net/wiki/index.php/SDIF_Examples)
11:37:42	17159/17159	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2018:23:28%20GMT	http://sdif.sourceforge.net/wiki/index.php/Special:RecentChangesLinked/SDIF_Examples	sdif.sourceforge.net/wiki/index.php/Special_RecentChangesLinked/SDIF_Examples.html	(from http://sdif.sourceforge.net/wiki/index.php/SDIF_Examples)
11:37:43	16086/16086	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Aug%202020%2009:37:43%20GMT	http://sdif.sourceforge.net/wiki/index.php/Special:WhatLinksHere/SDIF_Matlab	sdif.sourceforge.net/wiki/index.php/Special_WhatLinksHere/SDIF_Matlab.html	(from http://sdif.sourceforge.net/wiki/index.php/SDIF_Matlab)
11:37:43	17087/17087	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2018:23:28%20GMT	http://sdif.sourceforge.net/wiki/index.php/Special:RecentChangesLinked/SDIF_Matlab	sdif.sourceforge.net/wiki/index.php/Special_RecentChangesLinked/SDIF_Matlab.html	(from http://sdif.sourceforge.net/wiki/index.php/SDIF_Matlab)
11:37:44	15531/15531	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Aug%202020%2009:37:44%20GMT	http://sdif.sourceforge.net/wiki/index.php/Special:WhatLinksHere/SDIF_Tools	sdif.sourceforge.net/wiki/index.php/Special_WhatLinksHere/SDIF_Tools.html	(from http://sdif.sourceforge.net/wiki/index.php/SDIF_Tools)
11:37:45	17051/17051	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2018:23:28%20GMT	http://sdif.sourceforge.net/wiki/index.php/Special:RecentChangesLinked/SDIF_Tools	sdif.sourceforge.net/wiki/index.php/Special_RecentChangesLinked/SDIF_Tools.html	(from http://sdif.sourceforge.net/wiki/index.php/SDIF_Tools)
